first_name,last_name,department,salary,employee_id
Anthony,Horton,Marketing,22000,11187
Marc,Martinez,Marketing,15000,13561
Timothy,Bell,Marketing,25000,19091
Cindy,Herring,Marketing,31000,19453
James,Davis,Marketing,22000,10012
David,Long,Marketing,19500,6025
Rachel,Smith,Marketing,41000,6144
Katherine,Clark,Marketing,22500,8337
Tina,Henry,Marketing,15000,3612
Christine,Farmer,Marketing,27000,19022
Sandra,Stevens,Marketing,17500,6466
Amber,Glenn,Marketing,24500,4794
James,Andersen,Marketing,15000,19234
James,Rodgers,Marketing,26000,14361
Bobby,Irwin,Marketing,15000,1395
Stephanie,Lopez,Marketing,15000,4104
Jose,Cook,Marketing,21000,2953
Eric,Combs,Marketing,16500,3875
Susan,Aguilar,Marketing,28000,14864
Kelly,Mason,Marketing,22000,19461
Victoria,Ward,Marketing,26000,14093
Joshua,Riley,Marketing,16500,14535
Gilbert,Harris,Marketing,41500,612
Angel,Nicholson,Marketing,15000,10677
Jacqueline,Walter,Marketing,20000,5334
Samuel,Hernandez,Marketing,22000,7332
Mary,Russell,Marketing,15000,11047
Brian,Sosa,Marketing,15500,19465
Darlene,Martinez,Marketing,30000,6021
Rhonda,Hanson,Marketing,15000,2847
Debra,Ellis,Marketing,18000,13219
Ana,Benson,Marketing,15000,1572
Jeffrey,Roach,Marketing,52500,11760
David,Thompson,Marketing,19000,6843
Sara,King,Marketing,24500,13133
Lauren,Steele,Marketing,15000,12483
Jonathan,Knapp,Marketing,15000,15151
Michael,Calhoun,Marketing,15000,12216
Brittany,Cardenas,Marketing,40000,3400
Morgan,Ryan,Marketing,37500,18401
Michael,Mason,Marketing,16500,8278
Yolanda,Grimes,Marketing,33000,5282
Justin,Miller,Marketing,15000,7821
Albert,Mann,Marketing,24500,14187
James,Higgins,Marketing,17500,12696
Christine,Meadows,Marketing,15000,18992
Caleb,Burke,Marketing,15000,10507
Michael,Brown,Marketing,17000,4185
Lauren,Clarke,Marketing,29500,10558
Carrie,Simpson,Marketing,15000,15345
Trevor,Garza,Marketing,15500,6656
Jason,Tate,Marketing,15000,8526
Jason,Levy,Marketing,15000,16918
Jennifer,Santos,Marketing,15500,2874
Donald,Atkins,Marketing,34500,1605
Brian,French,Marketing,26500,3398
Anthony,Page,Marketing,15000,7964
Caitlyn,Franklin,Marketing,35000,14506
Sara,Garcia,Marketing,31500,16590
Leonard,Brown,Marketing,26500,10613
Henry,Osborn,Marketing,33000,2392
Shawn,Heath,Marketing,19500,18790
Douglas,Hays,Marketing,15000,4942
Ana,Sutton,Marketing,34500,7504
Christopher,Jimenez,Marketing,33500,12738
Rebecca,Moore,Marketing,47500,12401
Richard,Meyer,Marketing,21000,16645
Jeffrey,Joseph,Marketing,39000,18783
Laura,Diaz,Marketing,26500,1482
Tonya,Jones,Marketing,30000,15609
Hunter,Love,Marketing,15000,16366
Erin,Drake,Marketing,20500,10650
Christopher,Walker,Marketing,35000,3952
Christine,Mercado,Marketing,45500,5602
Chad,White,Marketing,15000,11855
Jennifer,Salinas,Marketing,20500,9154
